group,year,date,venue,organizer,title,author,discussant,session,start,end,link
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Signaling and Defense Against Speculative Attacks,"ALLAN DRAZEN, University of Maryland and NBER",,,"JULY 20, 2:30 PM","JULY 20, 2:45 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,The Best Defense: Why Governments Resist Devaluations and What Costs They Face as a Result of Successful Speculative Attacks,"BARRY EICHENGREEN, UC, Berkeley and NBER; ANDREW ROSE, UC, Berkeley and NBER",,,"JULY 20, 2:45 PM","JULY 20, 3:00 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,The International Lender of Last Resort: How Large is Large Enough,"OLIVIER JEANNE, International Monetary Fund; CHARLES WYPLOSZ, Graduate Institute of International Studies",,,"JULY 20, 3:00 PM","JULY 20, 3:15 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,The IMF and Bailing in the Private Sector,"MICHAEL DOOLEY, UC, Santa Cruz and NBER",,,"JULY 20, 3:15 PM","JULY 20, 3:30 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Restructuring Domestic Financial Institutions and Corporate Debt Structures after a Crises,"STIJN CLAESSENS, The World Bank",,,"JULY 20, 3:30 PM","JULY 20, 3:45 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Fiscal Implications of Twin Crises,"MARTIN EICHENBAUM, Northwestern University and NBER; SERGIO REBELO, Northwestern University and NBER; CRAIG BURNSIDE, University of Pittsburgh",,,"JULY 20, 3:45 PM","JULY 20, 4:00 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,An Evaluation of Proposal to Reform the International Monetary System,"MORRIS GOLDSTEIN, Institute for International Economics",,,"JULY 20, 4:00 PM","JULY 20, 4:30 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Macroeconomic Effects of IMF Programs,"MICHAEL HUTCHISON, UC, Santa Cruz",,,"JULY 20, 4:30 PM","JULY 20, 4:45 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Crises and IMF Structural Adjustment Policies,"YUNG CHUL PARK, Korea University",,,"JULY 20, 4:45 PM","JULY 20, 5:00 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,"Structural Adjustment, Growth, and Poverty Reduction","WILLIAM EASTERLY, The World Bank",,,"JULY 20, 5:00 PM","JULY 20, 5:15 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Income Distribution Following Crisis in Indonesia,"JAMES LEVINSOHN, University of Michigan and NBER; STEVEN BERRY; JED FRIEDMAN",,,"JULY 20, 5:15 PM","JULY 20, 6:00 PM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,Do Current Account Imbalances Matter?,"SEBASTIAN EDWARDS, UC, Los Angeles and NBER",,,"JULY 21, 9:00 AM","JULY 21, 9:15 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,Exchange Rate Regimes and Macroeconomics Stability,"ANDRES VELASCO, New York University and NBER",,,"JULY 21, 9:15 AM","JULY 21, 9:30 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,Active defense of the currency under dirty floating: Higher interest rates versus foreign exchange market intervention,"CARLOS VEGH, UC, Los Angeles and NBER; AMARTYA LAHIRI, UC, Los Angeles",,,"JULY 21, 9:30 AM","JULY 21, 9:45 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,"Credit, Prices, and Crashes in Emerging Economies: Sudden Stops Economics in an Equilibrium Framework","ENRIQUE MENDOZA, Duke University and NBER",,,"JULY 21, 10:00 AM","JULY 21, 10:15 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,NBER The Role of Large Players in Currency and Financial Crises,"GIANCARLO CORSETTI, Yale University; PAOLO PESENTI, Federal Reserve Bank of New York and NBER; NOURIEL ROUBINI, New York University and",,,"JULY 21, 10:15 AM","JULY 21, 10:30 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,The Cyclical Performance of Foreign and Domestic Banks in Emerging Markets,"LINDA GOLDBERG, Federal Reserve Bank of New York and NBER",,,"JULY 21, 10:30 AM","JULY 21, 10:45 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,Contagion: How to Measure it?,"ROBERTO RIGOBON, MIT",,,"JULY 21, 10:45 AM","JULY 21, 11:00 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,Are Competitiveness Effects Significant?,"KRISTIN FORBES, MIT and NBER",,,"JULY 21, 11:00 AM","JULY 21, 11:15 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,Capital Account Convertibility and Currency Crises,"DANI RODRIK, Harvard University and NBER (tentative)",,,"JULY 21, 11:15 AM","JULY 21, 11:30 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,"Corruption, Composition of Capital Flows and Currency Crises","SHANG-JIN WEI, The World Bank and NBER",,,"JULY 21, 11:30 AM","JULY 21, 11:45 AM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,"Regulation, Market Structure and Financial Crises: The Korean Case","MENZIE CHINN, UC Santa Cruz and NBER; ROBERT DEKLE, UC, Los Angeles; KENNETH KLETZER, UC, Santa Cruz",,,"JULY 21, 11:45 AM","JULY 21, 12:00 N",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,"Leverage, Vulnerability and Crises: On the Role of Bank Regulation","AARON TORNELL, UC, Los Angeles and NBER",,,"JULY 21, 12:00 N","JULY 21, 12:15 PM",
CCEF,2000,"July 21, 2000",Royal Sonesta Hotel,Sebastian Edwards; Jeffrey Frankel,Crony Capitalism and the Crises in Korea* (tentative),"ANNE KRUEGER, Stanford University and NBER; JUNG-HO -YOO, Stanford University",,,"JULY 21, 12:15 PM","JULY 21, 12:30 PM",
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,Bookbuilding and Strategic Allocation,"DAVID GOLDREICH, London Business School; FRANCESCA CORNELLI, London Business School","IVO WELCH, UC, Los Angeles",,"AUGUST 7, 9:00 AM","AUGUST 7, 10:00 AM",
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,The Really Long Run Performance of IPOs- the Pre-NASDAQ Evidence,"JOSHUA LERNER, Harvard University, NBER; PAUL GOMPERS, Harvard University, NBER","KENNETH FRENCH, MIT and NBER",,"AUGUST 7, 10:00 AM","AUGUST 7, 11:00 AM",http://www.nber.org/~confer/2000/si2000/lerner.pdf
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,Roll-ups: Performance and Incentives for Industry-Consolidating IPOs,"KEITH BROWN, University of Texas at Austin; HENRI SERVAES, London Business School; AMY DITTMAR, Indiana University; KENNETH WILES, Lloyd & Co.","GREGOR ANDRADE, Harvard University",,"AUGUST 7, 11:30 AM","AUGUST 7, 12:30 PM",http://www.nber.org/~confer/2000/si2000/brown.pdf
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,Venture Capital and the Professionalization of Start-up Firms: Empirical Evidence,"THOMAS HELLMAN, Stanford University; MANJU PURI, Stanford University","PER STROMBERG, University of Chicago",,"AUGUST 7, 2:00 PM","AUGUST 7, 3:20 PM",http://www.nber.org/~confer/2000/si2000/puri.pdf
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,Stock Options for Undiversified Executives*,"BRIAN HALL, Harvard University and NBER; KEVIN MURPHY, University of Southern California","JEREMY STEIN, MIT and NBER",,"AUGUST 7, 3:20 PM","AUGUST 7, 4:20 PM",http://www.nber.org/~confer/2000/si2000/murphy.pdf
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,Does Distance Still Matter? The Information Revolution In Small Business Lending?,"RAGHURAM RAJAN, University of Chicago and NBER; MITCHELL PETERSEN, Northwestern University","PHILIP STRAHAN, Federal Reserve Bank of New York",,"AUGUST 8, 9:00 AM","AUGUST 8, 10:00 AM",http://www.nber.org/~confer/2000/si2000/rajan.pdf
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,Product Market Competition and Credit Provision,"RAYMOND FISMAN, Columbia University; MAYANK RATURI, Columbia University","NICOLA CETORELLI, Federal Reserve Bank of Chicago",,"AUGUST 8, 10:00 AM","AUGUST 8, 11:00 AM",http://www.gsb.columbia.edu/faculty/rfisman/CREDIT55.pdf
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,Does Shareholder Composition Affect Stock Returns?,"EDITH HOTCHKISS, Boston College; DEON STRICKLAND, Ohio State University","KENT DANIEL, Northwestern University and NBER",,"AUGUST 8, 11:30 AM","AUGUST 8, 12:30 PM",http://www2.bc.edu/~hotchkis/papers/ge.pdf
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,Does Corporate Diversification Destroy Value?,"JOHN GRAHAM, Duke University; WOLF LEMMON","OWEN LAMONT, University of Chicago and NBER",,"AUGUST 8, 2:00 PM","AUGUST 8, 3:20 PM",http://www.duke.edu/~jgraham/GrahamLemmonWolf.pdf
CF,2000,"August 7 - 8, 2000",Royal Sonesta Hotel,Steven Kaplan; Luigi Zingales,-,"ANDREI SHLEIFER, Harvard University and NBER; DANIEL WOLFENZOHN, University of Michigan","DAVID SCHARFSTEIN, MIT and NBER",,"AUGUST 8, 3:20 PM","AUGUST 8, 4:20 PM",
CH,2000,"August 4, 2000",Royal Sonesta Hotel,Marianne Baxter; Michael Dooley,The Economic Consequences of Unilateral Divorce for Children,"JOHN JOHNSON, University of Illinois at Urbana-Champaign; CHRIS MAZINGO, MIT",,,"AUGUST 4, 9:00 AM","AUGUST 4, 10:00 AM",http://www.nber.org/~confer/2000/si2000/johnson.pdf
CH,2000,"August 4, 2000",Royal Sonesta Hotel,Marianne Baxter; Michael Dooley,Is Making Divorce Easier Bad for Children?,"JONATHAN GRUBER, MIT and NBER",,,"AUGUST 4, 10:00 AM","AUGUST 4, 11:00 AM",http://www.nber.org/~confer/2000/si2000/gruber.pdf
CH,2000,"August 4, 2000",Royal Sonesta Hotel,Marianne Baxter; Michael Dooley,The Impact of Changes in Abortion Policy on Fertility: A European Perspective,"PHILLIP LEVINE, University of Wellesley and NBER; DOUGLAS STAIGER, Dartmouth College and NBER",,,"AUGUST 4, 11:30 AM","AUGUST 4, 12:30 PM",
CH,2000,"August 4, 2000",Royal Sonesta Hotel,Marianne Baxter; Michael Dooley,The War on Poverty and Black-White Convergence in Infant Mortality Rates,"KENNETH CHAY, UC, Berkeley and NBER; MICHAEL GREENSTONE, UC, Berkeley",,,"AUGUST 4, 1:30 PM","AUGUST 4, 2:30 PM",
CH,2000,"August 4, 2000",Royal Sonesta Hotel,Marianne Baxter; Michael Dooley,Using Market Valuation to Assess the Importance and Efficiency of Public School Spending,"CECILIA ROUSE, Princeton University and NBER; LISA BARROW, Princeton University",,,"AUGUST 4, 3:00 PM","AUGUST 4, 4:00 PM",http://www.nber.org/~confer/2000/si2000/barrow.pdf
CH,2000,"August 4, 2000",Royal Sonesta Hotel,Marianne Baxter; Michael Dooley,"Teachers, Race and Student Achievement in a Randomized Experiment","THOMAS DEE, Swarthmore College",,,"AUGUST 4, 4:00 PM","AUGUST 4, 5:00 PM",http://www.swarthmore.edu/socsci/tdee1/Research/race_072000.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,"Conjectural Estimates of Economic Growth in the Lower South, 1700-1800","PETER MANCALL, University of Kansas; JOSHUA ROSENBLOOM, University of Kansas, THOMAS WEISS, University of Kansas",,,"JULY 17, 9:00 AM","JULY 17, 9:50 AM",http://papers.nber.org/papers/H0126.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,"Gallman's Annual Output Series for the US, 1834-1909","PAUL RHODE, University of North Carolina at Chapel Hill",,,"JULY 17, 10:05 AM","JULY 17, 10:55 AM",
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,State Constitutions,"JOHN WALLIS, University of Maryland and NBER",,,"JULY 17, 11:10 AM","JULY 17, 12:00 N",http://www.nber.org/~confer/2000/si2000/wallispaper.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,The Antebellum Tariff on Cotton Textiles Revisited,"PETER TEMIN, MIT and NBER; DOUGLAS IRWIN, Dartmouth College and NBER",,,"JULY 17, 1:00 PM","JULY 17, 1:50 PM",http://www.nber.org/~confer/2000/si2000/graytemin.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,"Economic Mobility in the Long Run: The Role of Geographic Mobility in Occupational Advancement, Income Growth, & Wealth Accumulation in Two Centuries, 1850-1880 and 1960-1990","JOSEPH FERRIE, Northwestern University and NBER",,,"JULY 17, 2:00 PM","JULY 17, 2:50 PM",
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,"Rising Wage Dispersion in American Manufacturing, 1850-1880","ROBERT MARGO, Vanderbilt University and NBER; JEREMY ATACK, Vanderbilt University and NBER",,,"JULY 17, 3:00 PM","JULY 17, 3:50 PM",http://www.nber.org/~confer/2000/si2000/atack.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,"Making the Little Guy Pay: Payment System Networks, Cross Subsidization, and the Collapse of the Suffolk System","HOWARD BODENHORN, Lafayette College",,,"JULY 18, 9:00 AM","JULY 18, 9:50 AM",http://www.nber.org/~confer/2000/si2000/bodenhorn.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,How Corporations Acquired Legal Personhood,"NAOMI LAMOREAUX, UC, Los Angeles and NBER",,,"JULY 18, 10:05 AM","JULY 18, 10:55 AM",
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,"A Wolfram in Sheep's Clothing: Economic Warfare in Spain and Portugal, 1940-1944","HUGH ROCKOFF, Rutgers University and NBER",,,"JULY 18, 11:10 AM","JULY 18, 12:00 N",ftp: //ftp-snde.rutgers.edu/rutgers/wp/2000-08.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,Private Water Supply in Nineteenth Century London: Re-assessing the Externalities,"NICOLA TYNAN, George Mason University",,,"JULY 19, 9:00 AM","JULY 19, 9:50 AM",http://www.nber.org/~confer/2000/si2000/tynan.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,A Single Market? The Stock Exchanges of the United States and London:1866-1885,"BENJAMIN CHABOT, Northwestern University",,,"JULY 19, 10:05 AM","JULY 19, 10:55 AM",
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,Streets Paved with Gold: American Municipal Bonds 1902-1931,"REBECCA MENES, George Mason University and NBER",,,"JULY 19, 11:10 AM","JULY 19, 12:00 N",
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,The Power of 'The Pill': Oral Contraceptives and Women's Career and Marriage Decisions,"CLAUDIA GOLDIN, Harvard University and NBER; LAWRENCE KATZ, Harvard University and NBER",,,"JULY 19, 1:00 PM","JULY 19, 1:50 PM",http://papers.nber.org/papers/W7527.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,Superstores and the Evolution of Firm Capabilities in American Bookselling,"DANIEL RAFF, University of Pennsylvania and NBER",,,"JULY 19, 2:00 PM","JULY 19, 2:50 PM",
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,The Evolution of Suffrage Institutions in the Americas,"KENNETH SOKOLOFF, UC, Los Angeles and NBER; STANLEY ENGERMAN, University of Rochester and NBER",,,"JULY 19, 3:00 PM","JULY 19, 3:50 PM",http://www.nber.org/~confer/2000/si2000/sokoloff.pdf
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,The Causes of Bank Failures During the Great Depression,"CHARLES CALOMIRIS, Columbia University and NBER; JOSEPH MASON, Drexel University",,,"JULY 20, 9:00 AM","JULY 20, 9:50 AM",
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,The Impact of the New Deal on Geographic Mobility,"PRICE FISHBACK, University of Arizona and NBER; WILLIAM HORRACE, University of Arizona; TRACY REGAN, University of Arizona: SHAWN KANTOR, University of Arizona and NBER",,,"JULY 20, 10:05 AM","JULY 20, 10:55 AM",
DAE,2000,"July 17 - July 20, 2000",NBER,Richard Sylla; John Wallis,"The Political Economy of Race, 1940-1964: The Adoption of State-Level Fair Employment Legislation","WILLIAM COLLINS, Vanderbilt University and NBER",,,"JULY 20, 11:10 AM","JULY 20, 12:00 N",
EFACR,2000,"July 24 - 28, 2000",Royal Sonesta Hotel,Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,"The Effects of Health, Wealth, and Wages on Labor Supply and Retirement","ERIC FRENCH, Federal Reserve Bank of Chicago",,,"JULY 24, 1:00 PM","JULY 24, 2:15 PM",http://www.chicagofed.org/publications/workingpapers/papers/wp2000-02.pdf
EFACR,2000,"July 24 - 28, 2000",Royal Sonesta Hotel,Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Long Run Labour Supply and the Elasticity of Intertemporal Substitution of Consumption,"MILES KIMBALL, University of Michigan and NBER; SUSANTU BASU, University of Michigan and NBER",,,"JULY 24, 2:30 PM","JULY 24, 3:45 PM",http://www.nber.org/~confer/2000/si2000/kimball.pdf
EFACR,2000,"July 24 - 28, 2000",Royal Sonesta Hotel,Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Housing and Asset Holding in a Dynamic General Equilibrium Model,"JENNIFER PLANTINA, Florida State University; DONALD SCHLAGENHAUF, Florida State University",,,"JULY 24, 4:00 PM","JULY 24, 5:15 PM",
EFACR,2000,"July 24 - 28, 2000",Royal Sonesta Hotel,Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Overheating,"PER KRUSELL, University of Rochester and NBER",,,"JULY 25, 1:00 PM","JULY 25, 2:15 PM",
EFACR,2000,"July 24 - 28, 2000",Royal Sonesta Hotel,Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Risky Habits and the Marginal Propensity to Consume out of Permanent Income,"CHRISTOPHER CARROLL, Johns Hopkins University and NBER",,,"JULY 25, 2:30 PM","JULY 25, 3:45 PM",
EFACR,2000,"July 24 - 28, 2000",Royal Sonesta Hotel,Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Saving and Reference Groups,"ARIE KAPTEYN, University of Tilburg",,,"JULY 25, 4:00 PM","JULY 25, 5:15 PM",http://nber.org/~confer/2000/si2000/kapteyn.pdf
EFACR,2000,"July 24 - 28, 2000",Royal Sonesta Hotel,Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,Intergenerational Persistence of Income: Sources and Policy,"DIEGO RESTUCCIA, University of Toronto",,,"JULY 26, 1:00 PM","JULY 26, 2:15 PM",
EFACR,2000,"July 24 - 28, 2000",Royal Sonesta Hotel,Orazio Attanasio; Christopher Carroll; Jose-Victor Rios-Rull,The Correlation of Wealth Across Generations,"ERIK HURST, University of Chicago; KERWIN KOFI CHARLES, University of Michigan",,,"JULY 26, 2:30 PM","JULY 26, 3:45 PM",
